Long,Lat,County
-72.326,45.179,0
-71.318,42.831,0
-79.938,41.973,45
-71.234,45.184,19
-74.344,41.147,0
-80.264,40.63,0
-78.261,43.76,0
-75.29,41.21,0
-70.745,40.589,0
-70.664,41.342,0
-79.599,41.482,0
-70.601,39.63,0
-70.749,41.039,0
-75.971,43.832,9
-72.486,45.804,0
-79.773,41.213,0
-76.675,43.51,65
-71.208,45.742,0
-72.575,42.706,0
-70.723,41.497,0
-74.085,43.37,14
-80.948,43.03,0
-71.945,40.413,38
-71.006,43.086,13
-73.831,40.535,0
-72.956,41.228,0
-73.118,42.938,0
-77.002,44.739,0
-74.088,44.139,4
-79.449,42.761,0
-73.529,45.249,0
-80.991,45.608,0
-78.278,42.518,42
-80.832,41.412,0
-80.268,45.454,0
-72.229,42.733,17
-73.653,45.144,0
-77.834,40.941,6
-70.826,40.316,0
-80.962,40.379,46
-76.487,43.225,13
-77.12,42.543,35
-72.87,41.959,0
-72.542,44.367,64
-79.275,42.475,10
-75.922,44.06,45
-76.411,45.474,0
-74.19,44.784,3
-73.492,39.844,0
-72.99,45.706,53
-78.288,45.211,0
-73.82,43.634,10
-74.093,39.661,0
-79.544,45.776,0
-80.026,42.032,0
-75.827,42.121,46
-70.721,42.821,0
-77.576,43.083,17
-74.865,45.66,0
-78.866,45.005,0
-73.028,42.609,0
-78.52,45.147,0
-75.743,42.059,46
-73.606,39.903,0
-71.483,41.537,0
-70.726,41.618,0
-75.287,42.511,30
-79.809,42.681,61
-79.691,44.064,0
-78.493,41.916,34
-72.038,45.549,0
-78.529,41.289,0
-72.331,44.309,0
-78.648,45.344,0
-71.058,43.291,0
-77.47,45.328,0
-79.167,39.951,0
-78.564,43.115,16
-74.525,39.611,26
-76.105,40.561,0
-77.451,42.171,38
-72.147,41.069,0
-74.865,42.979,8
-75.259,41.564,0
-71.192,44.076,51
-78.18,43.307,15
-72.962,41.106,0
-73.001,39.997,30
-77.132,39.613,0
-75.059,40.789,0
-80.504,42.7,0
-80.746,43.493,38
-75.468,40.369,0
-72.719,40.434,0
-71.005,41.58,21
-79.905,40.148,0
-75.047,42.179,43
-76.148,41.379,0
-81.212,43.582,0
-77.612,40.983,0
-79.548,43.732,0
-72.552,40.816,0
-77.899,40.191,18
-75.493,45.403,49
-79.51,43.124,0
-74.68,42.235,43
-78.433,40.291,0
-74.104,43.09,0
-73.715,40.296,44
-73.063,41.086,0
-76.357,40.47,0
-80.416,41.669,0
-78.809,41.784,0
-71.234,45.469,0
-79.657,45.213,0
-72.203,44.591,0
-75.385,40.063,0
-70.318,42.248,0
-80.478,42.102,13
-76.444,42.205,44
-80.163,45.755,0
-70.697,41.097,0
-81.292,40.279,0
-72.766,44.654,0
-72.297,39.876,18
-71.728,45.666,0
-80.409,44.665,0
-76.918,45.67,0
-78.467,44.438,0
-72.488,43.441,0
-76.568,45.85,0
-71.264,43.152,0
-79.331,42.73,58
-78.423,41.193,0
-79.732,40.832,26
-79.837,42.71,0
-71.722,44.09,0
-74.927,45.841,0
-75.257,41.71,0
-79.739,40.985,0
-71.902,41.777,0
-74.458,40.172,0
-77.459,43.589,0
-75.663,41.985,0
-76.896,45.207,0
-80.503,42.291,0
-78.688,45.229,0
-79.978,41.011,0
-79.308,44.635,0
-78.687,45.023,0
-76.725,42.295,49
-80.794,43.318,0
-71.352,40.172,19
-70.886,41.178,26
-75.91,43.349,11
-75.928,42.886,20
-77.605,45.376,19
-71.381,43.789,38
-77.256,42.754,35
-80.113,43.609,0
-72.707,40.139,0
-77.03,39.85,25
-78.668,44.348,0
-76.873,41.641,0
-80.276,40.013,0
-79.883,45.434,8
